trade_date,crop_code,crop_name,market_code,market_name,average_price,volume,upper_price,middle_price,lower_price
2024-06-17,LB2,小白菜-蚵仔白,648,西螺鎮,12.4,28998.0,17.5,12.3,7.5
2024-06-18,LB2,小白菜-蚵仔白,648,西螺鎮,12.2,24532.0,17.5,12.1,7.5
2024-06-19,LB2,小白菜-蚵仔白,648,西螺鎮,12.3,23948.0,17.5,12.2,7.5
2024-06-20,LB2,小白菜-蚵仔白,648,西螺鎮,12.4,22080.0,17.5,12.3,7.5
2024-06-21,LB2,小白菜-蚵仔白,648,西螺鎮,14.6,25147.0,20.0,15.0,10.0
2024-06-22,LB2,小白菜-蚵仔白,648,西螺鎮,14.7,24936.0,20.0,15.0,10.0
2024-06-24,LB2,小白菜-蚵仔白,648,西螺鎮,16.8,26295.0,22.5,17.5,10.0
2024-06-25,LB2,小白菜-蚵仔白,648,西螺鎮,19.1,21490.0,25.0,20.0,10.0
2024-06-26,LB2,小白菜-蚵仔白,648,西螺鎮,19.0,21758.0,25.0,20.0,10.0
2024-06-27,LB2,小白菜-蚵仔白,648,西螺鎮,19.0,19976.0,25.0,20.0,10.0
2024-06-28,LB2,小白菜-蚵仔白,648,西螺鎮,19.1,22664.0,25.0,20.0,10.0
2024-06-29,LB2,小白菜-蚵仔白,648,西螺鎮,19.1,23253.0,25.0,20.0,10.0
2024-07-01,LB2,小白菜-蚵仔白,648,西螺鎮,19.0,25570.0,25.0,20.0,10.0
2024-07-02,LB2,小白菜-蚵仔白,648,西螺鎮,21.4,20593.0,27.5,22.2,12.5
2024-07-03,LB2,小白菜-蚵仔白,648,西螺鎮,24.3,18847.0,32.5,24.7,15.0
2024-07-04,LB2,小白菜-蚵仔白,648,西螺鎮,29.2,16310.0,40.0,29.5,17.5
2024-07-05,LB2,小白菜-蚵仔白,648,西螺鎮,33.9,15745.0,44.6,35.0,20.0
2024-07-06,LB2,小白菜-蚵仔白,648,西螺鎮,36.1,16844.0,46.0,37.4,20.0
2024-07-08,LB2,小白菜-蚵仔白,648,西螺鎮,34.1,19418.0,44.4,34.9,20.0
2024-07-09,LB2,小白菜-蚵仔白,648,西螺鎮,34.0,15232.0,44.4,34.7,20.0
2024-07-10,LB2,小白菜-蚵仔白,648,西螺鎮,31.7,16321.0,42.2,32.4,17.5
2024-07-11,LB2,小白菜-蚵仔白,648,西螺鎮,32.0,15414.0,41.9,32.5,17.5
2024-07-12,LB2,小白菜-蚵仔白,648,西螺鎮,34.2,15999.0,44.1,35.0,20.0
2024-07-13,LB2,小白菜-蚵仔白,648,西螺鎮,38.5,15499.0,50.0,39.9,22.5
2024-07-15,LB2,小白菜-蚵仔白,648,西螺鎮,42.7,16123.0,55.0,44.4,25.0
2024-07-16,LB2,小白菜-蚵仔白,648,西螺鎮,46.2,13577.0,60.0,46.9,30.0
2024-07-17,LB2,小白菜-蚵仔白,648,西螺鎮,48.7,11185.0,67.5,48.7,30.0
2024-07-18,LB2,小白菜-蚵仔白,648,西螺鎮,48.3,9758.0,67.5,48.0,30.0
2024-07-19,LB2,小白菜-蚵仔白,648,西螺鎮,48.0,12044.0,65.0,48.6,30.0
2024-07-20,LB2,小白菜-蚵仔白,648,西螺鎮,47.4,14214.0,60.0,49.0,30.0
2024-07-22,LB2,小白菜-蚵仔白,648,西螺鎮,34.1,19325.0,44.5,35.0,20.0
2024-07-23,LB2,小白菜-蚵仔白,648,西螺鎮,33.9,21428.0,44.8,34.8,20.0
2024-07-24,LB2,小白菜-蚵仔白,648,西螺鎮,38.5,20700.0,50.0,40.0,22.5
2024-07-25,LB2,小白菜-蚵仔白,648,西螺鎮,38.5,8940.0,50.0,40.0,22.5
2024-07-26,LB2,小白菜-蚵仔白,648,西螺鎮,47.5,13480.0,65.0,47.5,30.0
2024-07-27,LB2,小白菜-蚵仔白,648,西螺鎮,63.5,10107.0,84.7,64.1,40.0
2024-07-29,LB2,小白菜-蚵仔白,648,西螺鎮,58.1,11049.0,74.8,60.0,35.0
2024-07-30,LB2,小白菜-蚵仔白,648,西螺鎮,61.7,9532.0,79.9,64.1,35.0
2024-07-31,LB2,小白菜-蚵仔白,648,西螺鎮,68.5,8561.0,92.5,70.0,40.0
2024-08-01,LB2,小白菜-蚵仔白,648,西螺鎮,72.1,7700.0,94.4,74.9,40.0
2024-08-02,LB2,小白菜-蚵仔白,648,西螺鎮,77.3,7432.0,99.8,79.9,45.0
2024-08-03,LB2,小白菜-蚵仔白,648,西螺鎮,77.1,7705.0,99.5,79.9,45.0
2024-08-05,LB2,小白菜-蚵仔白,648,西螺鎮,95.7,7170.0,120.0,99.5,60.0
2024-08-06,LB2,小白菜-蚵仔白,648,西螺鎮,96.0,6420.0,120.0,99.7,60.0
2024-08-07,LB2,小白菜-蚵仔白,648,西螺鎮,87.0,7233.0,114.7,89.9,50.0
2024-08-08,LB2,小白菜-蚵仔白,648,西螺鎮,76.0,8134.0,95.0,79.9,45.0
2024-08-09,LB2,小白菜-蚵仔白,648,西螺鎮,54.1,9908.0,74.5,55.0,30.0
2024-08-10,LB2,小白菜-蚵仔白,648,西螺鎮,47.5,13266.0,65.0,47.4,30.0
2024-08-12,LB2,小白菜-蚵仔白,648,西螺鎮,47.4,14693.0,65.0,47.4,30.0
2024-08-13,LB2,小白菜-蚵仔白,648,西螺鎮,47.5,10971.0,64.6,47.4,30.0
2024-08-14,LB2,小白菜-蚵仔白,648,西螺鎮,47.5,11653.0,64.9,47.5,30.0
2024-08-15,LB2,小白菜-蚵仔白,648,西螺鎮,47.6,10384.0,64.6,47.3,30.0
2024-08-16,LB2,小白菜-蚵仔白,648,西螺鎮,43.0,15232.0,54.9,44.8,25.0
2024-08-17,LB2,小白菜-蚵仔白,648,西螺鎮,36.0,17364.0,47.5,37.5,20.0
2024-08-19,LB2,小白菜-蚵仔白,648,西螺鎮,29.5,20890.0,40.0,30.0,17.5
2024-08-20,LB2,小白菜-蚵仔白,648,西螺鎮,29.6,17016.0,40.0,30.0,17.5
2024-08-21,LB2,小白菜-蚵仔白,648,西螺鎮,25.3,19617.0,34.6,25.0,15.0
2024-08-22,LB2,小白菜-蚵仔白,648,西螺鎮,25.4,18714.0,33.6,25.0,15.0
2024-08-23,LB2,小白菜-蚵仔白,648,西螺鎮,22.1,20807.0,30.0,22.5,12.5
2024-08-24,LB2,小白菜-蚵仔白,648,西螺鎮,22.2,21475.0,30.0,22.5,12.5
2024-08-26,LB2,小白菜-蚵仔白,648,西螺鎮,22.3,23771.0,29.6,22.5,12.5
2024-08-27,LB2,小白菜-蚵仔白,648,西螺鎮,25.2,19029.0,34.3,25.0,15.0
2024-08-28,LB2,小白菜-蚵仔白,648,西螺鎮,25.2,19562.0,34.3,25.0,15.0
2024-08-29,LB2,小白菜-蚵仔白,648,西螺鎮,25.1,17760.0,34.5,25.0,15.0
2024-08-30,LB2,小白菜-蚵仔白,648,西螺鎮,25.0,19515.0,34.9,25.0,15.0
2024-08-31,LB2,小白菜-蚵仔白,648,西螺鎮,24.7,22208.0,32.0,25.0,15.0
2024-09-02,LB2,小白菜-蚵仔白,648,西螺鎮,22.2,23630.0,30.0,22.5,12.5
2024-09-03,LB2,小白菜-蚵仔白,648,西螺鎮,22.2,19552.0,30.0,22.5,12.5
2024-09-04,LB2,小白菜-蚵仔白,648,西螺鎮,21.5,21153.0,27.5,22.4,12.5
2024-09-05,LB2,小白菜-蚵仔白,648,西螺鎮,19.0,19708.0,25.0,20.0,10.0
2024-09-06,LB2,小白菜-蚵仔白,648,西螺鎮,17.1,23588.0,22.2,17.5,10.0
2024-09-07,LB2,小白菜-蚵仔白,648,西螺鎮,17.1,24725.0,22.1,17.5,10.0
2024-09-09,LB2,小白菜-蚵仔白,648,西螺鎮,17.2,27494.0,21.8,17.5,10.0
2024-09-10,LB2,小白菜-蚵仔白,648,西螺鎮,17.1,22140.0,22.3,17.5,10.0
2024-09-11,LB2,小白菜-蚵仔白,648,西螺鎮,17.1,23248.0,22.2,17.5,10.0
2024-09-12,LB2,小白菜-蚵仔白,648,西螺鎮,12.6,23597.0,17.5,12.5,7.5
2024-09-13,LB2,小白菜-蚵仔白,648,西螺鎮,15.0,24045.0,20.0,15.0,10.0
2024-09-14,LB2,小白菜-蚵仔白,648,西螺鎮,21.5,22586.0,27.5,22.4,12.5
2024-09-15,LB2,小白菜-蚵仔白,648,西螺鎮,21.5,980.0,27.5,22.5,12.5
2024-09-16,LB2,小白菜-蚵仔白,648,西螺鎮,24.6,23484.0,32.4,25.0,15.0
2024-09-18,LB2,小白菜-蚵仔白,648,西螺鎮,31.5,17500.0,42.4,32.3,17.5
2024-09-19,LB2,小白菜-蚵仔白,648,西螺鎮,34.1,14469.0,44.6,35.0,20.0
2024-09-20,LB2,小白菜-蚵仔白,648,西螺鎮,40.5,15847.0,52.5,42.4,22.5
2024-09-21,LB2,小白菜-蚵仔白,648,西螺鎮,46.6,14696.0,59.2,47.5,30.0
2024-09-23,LB2,小白菜-蚵仔白,648,西螺鎮,46.5,16291.0,59.6,47.4,30.0
2024-09-24,LB2,小白菜-蚵仔白,648,西螺鎮,46.7,13844.0,58.1,47.5,30.0
2024-09-25,LB2,小白菜-蚵仔白,648,西螺鎮,46.6,14320.0,59.1,47.5,30.0
2024-09-26,LB2,小白菜-蚵仔白,648,西螺鎮,46.7,12756.0,59.1,47.5,30.0
2024-09-27,LB2,小白菜-蚵仔白,648,西螺鎮,47.6,12790.0,62.4,47.5,30.0
2024-09-28,LB2,小白菜-蚵仔白,648,西螺鎮,50.0,12286.0,69.8,50.0,30.0
2024-09-30,LB2,小白菜-蚵仔白,648,西螺鎮,58.2,17580.0,74.4,60.0,35.0
2024-10-01,LB2,小白菜-蚵仔白,648,西螺鎮,58.9,15113.0,79.5,59.6,35.0
2024-10-02,LB2,小白菜-蚵仔白,648,西螺鎮,59.0,11640.0,80.0,60.0,35.0
2024-10-03,LB2,小白菜-蚵仔白,648,西螺鎮,59.0,8760.0,80.0,60.0,35.0
2024-10-04,LB2,小白菜-蚵仔白,648,西螺鎮,59.6,9949.0,79.3,60.0,35.0
2024-10-05,LB2,小白菜-蚵仔白,648,西螺鎮,50.1,10270.0,70.0,50.0,30.0
2024-10-07,LB2,小白菜-蚵仔白,648,西螺鎮,47.6,15324.0,62.0,47.5,30.0
2024-10-08,LB2,小白菜-蚵仔白,648,西螺鎮,46.7,13622.0,58.9,47.5,30.0
2024-10-09,LB2,小白菜-蚵仔白,648,西螺鎮,43.1,15160.0,54.7,45.0,25.0
2024-10-10,LB2,小白菜-蚵仔白,648,西螺鎮,46.5,12588.0,59.4,47.5,30.0
