TransDate,MarketName,TransNum_Total,TransNum_AvgWgt,TransNum_AvgPrice,SpecPig_Num,SpecPig_AvgWgt,SpecPig_AvgPrice,Num_95in_115in,AvgWgt_95in_115in,AvgPrice_95in_115in,Num_75in_95,AvgWgt_75in_95,AvgPrice_75in_95,Num_115up,AvgWgt_115up,AvgPrice_115up,Num_75low,AvgWgt_75low,AvgPrice_75low,OutPigs_Num,OutPigs_AvgWgt,OutPigs_AvgPrice,OtherPigs_Num,OtherPigs_AvgWgt,OtherPigs_AvgPrice,FreezerPigs_Num,FreezerPigs_AvgWgt,FreezerPigs_AvgPrice,TotalTrans_ExcludeFreezer_Num,TotalTrans_ExcludeFreezer_AvgWeight,TotalTrans_ExcludeFreezer_AvgPrice,KgPig5_Q,KgPig5_W,KgPig5_P,KgPig6_Q,KgPig6_W,KgPig6_P
1150615,屏東縣,1392,125.25,95.87,1284,124.33,97.08,348,107.86,95.73,15,88.1,84.62,636,124.78,97.61,3,69.66,50.46,11,175.81,78.8,34,0.0,72.72,299,122.59,92.67,1093,125.98,96.72,300,142.48,97.28,45,162.5,89.75
1150615,高雄旗山,363,127.4,100.08,336,126.6,101.11,57,107.55,101.28,2,93.75,101.8,201,126.44,101.16,0,0.0,0.0,0,0.0,0.0,18,0.0,88.38,72,127.49,90.48,291,127.38,102.46,78,140.93,100.89,7,161.71,85.84
1150615,高雄鳳山,1510,127.33,96.45,1419,126.97,97.33,256,108.89,93.75,11,89.64,79.73,783,125.79,97.77,0,0.0,0.0,1,171.4,66.0,45,0.0,77.18,343,120.76,91.47,1167,129.26,97.82,380,141.58,98.39,34,162.03,90.51
1150615,高雄岡山,1253,127.3,94.84,1185,127.54,95.74,213,108.3,94.45,37,88.0,68.16,635,126.1,96.45,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,399,133.3,91.68,854,124.5,96.42,337,142.4,95.19,31,165.2,85.06
1150615,高雄市,776,118.6,96.66,704,121.75,97.82,213,106.04,95.89,33,88.7,85.39,378,124.9,99.5,14,46.43,46.53,0,0.0,0.0,23,0.0,84.6,240,121.97,93.42,536,117.1,98.18,113,140.85,95.58,2,162.75,83.12
1150615,臺南市,520,117.4,96.64,483,118.35,97.61,193,106.36,96.14,23,91.22,87.79,253,124.05,98.44,0,0.0,0.0,2,157.25,78.91,11,0.0,74.1,63,118.84,90.65,457,117.2,97.47,37,141.88,98.39,1,166.5,84.8
1150615,臺南安南,1013,122.08,97.19,937,124.51,98.74,185,109.05,96.26,58,85.83,71.62,590,125.04,99.27,8,64.56,41.14,3,127.5,55.37,0,0.0,0.0,106,119.87,91.5,907,122.34,97.84,162,140.26,99.21,7,159.93,89.56
1150615,雲林縣,2501,122.03,97.16,2199,124.11,99.32,573,107.1,98.64,137,88.98,86.14,1151,124.96,100.0,0,0.0,0.0,0,0.0,0.0,107,0.0,57.02,508,126.41,91.99,1993,120.92,98.53,475,142.57,98.49,58,162.71,94.19
1150615,嘉義市,1257,123.83,98.3,1179,123.36,99.55,301,108.03,97.2,32,87.76,71.83,678,124.72,100.58,5,68.96,40.71,2,176.2,51.35,1,0.0,40.0,123,125.59,92.73,1134,123.64,98.92,200,141.83,99.17,38,173.98,88.53
1150615,南投縣,2412,121.3,97.47,2271,120.98,98.64,755,108.41,97.11,42,91.92,89.41,1236,123.93,99.01,0,0.0,0.0,0,0.0,0.0,65,0.0,64.81,232,118.24,92.13,2180,121.62,98.02,280,141.86,100.37,34,164.43,94.39
1150615,彰化縣,2062,118.55,96.63,1934,119.63,97.36,754,107.88,96.61,36,90.88,87.56,958,123.66,97.88,15,64.17,32.45,1,195.0,92.6,68,0.0,87.22,284,123.29,93.07,1778,117.79,97.23,222,142.14,97.35,8,161.44,90.95
1150615,台中大安,1983,120.74,97.94,1863,120.75,98.54,686,107.9,97.4,57,90.1,85.9,907,124.3,99.19,2,74.0,59.3,9,169.4,97.47,42,0.0,85.35,333,119.2,94.05,1650,121.05,98.71,270,141.5,98.86,10,157.5,103.44
1150615,苗栗縣,770,143.9,107.81,749,143.61,108.55,21,111.43,100.89,1,89.5,67.0,247,128.56,109.59,0,0.0,0.0,0,0.0,0.0,20,0.0,83.67,0,0.0,0.0,770,143.9,107.81,329,144.03,110.27,152,171.61,104.83
1150615,桃園市,2168,144.98,101.8,1516,133.49,101.75,146,109.0,100.0,0,0.0,0.0,635,126.5,101.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,161.6,90.4,2116,144.58,102.12,735,144.4,102.2,652,171.7,101.9
1150615,新竹縣,771,146.01,101.0,716,142.68,104.97,13,110.8,97.33,0,0.0,0.0,226,127.5,101.8,0,0.0,0.0,36,204.3,50.18,19,0.0,90.59,20,135.9,91.92,751,146.28,101.22,338,144.5,104.5,139,165.9,110.4
1150615,新北市,2512,132.83,99.29,2245,128.74,100.09,344,108.63,96.53,7,90.54,83.19,1154,125.45,99.83,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,194,125.74,91.95,2318,133.43,99.86,747,143.09,101.69,260,169.28,94.23
