Station_name,Station_ID,TIME,LAT,LON,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,CITY,CITY_SN,TOWN,TOWN_SN,ATTRIBUTE
九份二山,C1I230,2026/06/15 10:00,23.96202500000000,120.84527200000000,837,2,0,4,5.5,9.5,53,7.5,南投縣,10008,國姓鄉,10008100,
基隆,466940,2026/06/15 10:00,25.13331400000000,121.74047500000000,26.7000007629395,0,0,0,0,0,3,0,基隆市,10017,仁愛區,10017040,
淡水,466900,2026/06/15 10:00,25.16488900000000,121.44890600000000,19,0,0,0,0,0,6,0,新北市,65000,淡水區,65000100,
新北,466881,2026/06/15 10:00,24.95920700000000,121.52519600000000,24.5,0,0,0,0,0,5,0,新北市,65000,新店區,65000060,
陽明山,466930,2026/06/15 10:00,25.16207800000000,121.54454700000000,607.099975585938,0,0,0,0,0,6,0,臺北市,63000,北投區,63000120,
鞍部,466910,2026/06/15 10:00,25.18258600000000,121.52973100000000,837.599975585938,0,0,0,0,0,7.5,0,臺北市,63000,北投區,63000120,
新竹,467571,2026/06/15 10:00,24.82857500000000,121.01455000000000,26.8999996185303,0,0,0.5,0.5,0.5,17.5,0.5,新竹縣,10004,竹北市,10004010,
臺中,467490,2026/06/15 10:00,24.14573600000000,120.68407500000000,84,4.5,1,5,5,7,70.5,7,臺中市,66000,北區,66000050,
澎湖,467350,2026/06/15 10:00,23.56550300000000,119.56309400000000,10.6999998092651,2,0.5,25,40,40.5,78,40,澎湖縣,10016,馬公市,10016010,
日月潭,467650,2026/06/15 10:00,23.88132500000000,120.90805000000000,1017.5,1.5,0,1.5,2,6,44,4,南投縣,10008,魚池鄉,10008090,
阿里山,467530,2026/06/15 10:00,23.50820800000000,120.81324200000000,2413.39990234375,6,1.5,15.5,22,38,121.5,28,嘉義縣,10010,阿里山鄉,10010180,
玉山,467550,2026/06/15 10:00,23.48718000000000,120.95943000000000,3844.80004882813,2,0.5,9.5,15,35.5,112.5,24.5,南投縣,10008,信義鄉,10008120,
嘉義,467480,2026/06/15 10:00,23.49592500000000,120.43290600000000,26.8999996185303,3.5,1,6,9,10.5,80,9.5,嘉義市,10020,西區,10020020,
臺南,467410,2026/06/15 10:00,22.99328000000000,120.20492000000000,40.7999992370605,2,0.5,11,21,41.5,99.5,33.5,臺南市,67000,中西區,67000370,
高雄,467441,2026/06/15 10:00,22.73043200000000,120.31251600000000,11.8000001907349,17.5,0,30,54.5,62.5,120,61.5,高雄市,64000,楠梓區,64000040,
恆春,467590,2026/06/15 10:00,22.00389700000000,120.74633900000000,22.2999992370605,1,1,2,2.5,16.5,25,11.5,屏東縣,10013,恆春鎮,10013040,
宜蘭,467080,2026/06/15 10:00,24.76397500000000,121.75652800000000,7.19999980926514,0,0,0,0,0,4.5,0,宜蘭縣,10002,宜蘭市,10002010,
花蓮,466990,2026/06/15 10:00,23.97512800000000,121.61327500000000,16.1000003814697,0,0,0,0,0,2.5,0,花蓮縣,10015,花蓮市,10015010,
成功,467610,2026/06/15 10:00,23.09748600000000,121.37342800000000,33.5,0,0,0.5,1.5,2,2,1.5,臺東縣,10014,成功鎮,10014020,
臺東,467660,2026/06/15 10:00,22.75221100000000,121.15458600000000,9,0,0,1,1,1,1,1,臺東縣,10014,臺東市,10014010,
