交易日期,種類代碼,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
115.06.15,N04,rest,休市,104,台北二,0.0,0.0,0.0,0.0,0.0
115.06.15,N06,rest,休市,104,台北二,0.0,0.0,0.0,0.0,0.0
115.06.15,N06,FA810,康乃馨-多朵紅,105,台北市場,20.0,20.0,20.0,20.0,22.0
115.06.15,N06,FA840,康乃馨-多朵粉,105,台北市場,50.0,47.0,45.0,47.5,68.0
115.06.15,N06,FA872,康乃馨-史波特,105,台北市場,36.0,36.0,36.0,36.0,36.0
115.06.15,N06,FA985,繡球撫子-綠石竹,105,台北市場,175.0,175.0,175.0,175.0,10.0
115.06.15,N06,FB000,火鶴花,105,台北市場,18.0,11.0,9.0,12.0,710.0
115.06.15,N06,FB105,火鶴花-紅綠邊,105,台北市場,8.0,7.0,7.0,7.3,90.0
115.06.15,N06,FB106,火鶴花-丘比特,105,台北市場,17.0,10.0,6.0,10.8,3108.0
115.06.15,N06,FB108,火鶴花-千里達,105,台北市場,8.0,7.0,5.0,6.8,275.0
115.06.15,N06,FB111,火鶴花-月光,105,台北市場,8.0,8.0,7.0,7.7,970.0
115.06.15,N06,FB113,火鶴花-紅鈴,105,台北市場,15.0,9.0,6.0,9.6,2719.0
115.06.15,N06,FB302,火鶴花-黃瑪莉,105,台北市場,13.0,11.0,9.0,11.2,2085.0
115.06.15,N06,FB401,火鶴花-夏粉,105,台北市場,7.0,6.0,5.0,5.7,310.0
115.06.15,N06,FB405,火鶴花-粉綠邊,105,台北市場,31.0,24.0,16.0,24.1,1135.0
115.06.15,N06,FB407,火鶴花-夢幻,105,台北市場,12.0,9.0,7.0,9.5,255.0
115.06.15,N06,FB415,火鶴花-羅莎,105,台北市場,15.0,11.0,7.0,10.9,4028.0
115.06.15,N06,FB419,火鶴花-太極,105,台北市場,18.0,11.0,7.0,11.5,943.0
115.06.15,N06,FB420,火鶴花-小紅莓,105,台北市場,18.0,16.0,14.0,15.9,151.0
115.06.15,N06,FB426,火鶴花-粉蕾絲,105,台北市場,10.0,9.0,8.0,9.0,570.0
115.06.15,N06,FB500,火鶴花-翠綠,105,台北市場,26.0,19.0,14.0,19.7,2948.0
115.06.15,N06,FB501,火鶴花-蘋果綠,105,台北市場,15.0,15.0,15.0,15.0,25.0
115.06.15,N06,FB502,火鶴花-綠紅心,105,台北市場,12.0,10.0,7.0,10.0,440.0
115.06.15,N06,FB505,火鶴花-香檳,105,台北市場,9.0,6.0,5.0,6.5,158.0
115.06.15,N06,FB507,火鶴花-綠精靈,105,台北市場,23.0,22.0,21.0,21.8,112.0
115.06.15,N06,FB600,火鶴花-白色,105,台北市場,18.0,15.0,12.0,14.7,100.0
115.06.15,N06,FB601,火鶴花-白青心,105,台北市場,12.0,11.0,8.0,10.4,235.0
115.06.15,N06,FB607,火鶴花-月亮女神,105,台北市場,8.0,8.0,8.0,8.0,180.0
115.06.15,N06,FB700,火鶴花-紫色,105,台北市場,17.0,13.0,8.0,12.5,970.0
115.06.15,N06,FB801,火鶴花-咖啡條紋,105,台北市場,24.0,21.0,14.0,20.0,190.0
115.06.15,N06,FB802,火鶴花-大地,105,台北市場,25.0,18.0,13.0,18.6,460.0
115.06.15,N06,FB805,火鶴花-黑珍珠,105,台北市場,14.0,8.0,7.0,9.1,220.0
115.06.15,N06,FC300,大菊-黃,105,台北市場,52.0,50.0,50.0,50.5,101.0
115.06.15,N06,FC316,大菊-黃精競,105,台北市場,98.0,87.0,61.0,83.7,739.0
115.06.15,N06,FC601,大菊-日本白,105,台北市場,405.0,405.0,405.0,405.0,24.0
115.06.15,N06,FC613,大菊-白天星,105,台北市場,138.0,115.0,60.0,108.2,1599.0
115.06.15,N06,FC800,大菊-染色大菊,105,台北市場,141.0,129.0,110.0,127.7,240.0
115.06.15,N06,FC804,染大菊-白天星,105,台北市場,159.0,134.0,106.0,133.4,928.0
115.06.15,N06,FD000,小菊,105,台北市場,92.0,84.0,40.0,77.1,83.0
115.06.15,N06,FD131,小菊-小紅娘,105,台北市場,95.0,68.0,48.0,69.6,939.0
